Disaster,ID,Singular/Ongoing?,Date of Disaster,Landfall Response,Hashtag to use,Preface,,,,,,,,,,,,
Hurricane Harvey,1,Singular,8/25/17,1,#HurricaneHarvey,2,,,,,,,,,,,,
Hurricane Irma,2,Singular,9/10/17,1,#HurricaneIrma,2,,,,,,,,,,,,
Hurricane Maria,3,Singular,9/18/17,1,#HurricaneMaria,2,,,,,,,,,,,,
Thomas Wildfire,4,Ongoing,12/4/17,2,#ThomasWildfire,1,,,,,,,,,,,,
The Sierra Leone Mudslides,5,Singular,8/21/17,1,#SierraLeoneMudslides,1,,,,,,,,,,,,
The Mexico City Earthquake,6,Singular,9/19/17,1,#MexicoCityEarthquake,1,,,,,,,,,,,,
The Iran/Iraq Earthquake,7,Singular,11/12/17,1,#IranIraqEarthquake,1,,,,,,,,,,,,
Flint Water Crisis,8,Singular,4/25/14,2,#FlintWaterCrisis,1,,,,,,,,,,,,
Columbia Floods,9,Singular,4/3/17,1,#ColumbiaFloods,1,,,,,,,,,,,,
The Philippines Mudslides,10,Singular,12/23/17,1,#PhilippinesMudslides,1,,,,,,,,,,,,
Kadovar Island Volcano,11,Ongoing,1/5/18,2,#KadovarIslandVolcano,1,,,,,,,,,,,,
The On-going Mongolia Dzud,12,Singular,12/1/15,2,#MongoliaDzud,1,,,,,,,,,,,,