Disaster,Charity,Tweet
1,greaterhoucf,has raised over 100 Million dollars for the community: http://bit.ly/2wFSxyv
2,cffkflakeys,is raising money for local residents here: http://bit.ly/2zQhDIk
3,CDP,is hosting the Atlantic Recovery Fund: http://bit.ly/2xCuYVc
1,HoustonFoodBank,are leading community food drives for victims: http://bit.ly/2wQXC7y
2,CFTampaBay,is raising money for long-term recovery: http://bit.ly/2x48YCI
3,BeHIPGive,"raised over $150,000 for local residents: http://bit.ly/2x48YCI"
1,HouUnitedWay,has a 24 hour helpline for victims: http://bit.ly/2wlE8F3
2,MiamiFoundation,is sponsoring local relief funds here: http://bit.ly/2wYpMfP
3,MiamiFoundation,is sponsoring area relief funds here: http://bit.ly/2wYpMfP
1,HoustonHumane,are setting up adoptions for stranded animals: http://bit.ly/2iF1HWi
2,GNOFoundation,is sponsoring the NOLA Pay It Forward Fund: http://bit.ly/2jvc5jL
1,Montrose_Center,are helping the LGBTQ  Houston community recover: http://bit.ly/2vyqaP3
2,ICFDN,is sponsoring the BR&CT fund here: http://bit.ly/2eKwdJz
7,NIACouncil,identified 4 charities that will accept donations: http://bit.ly/2yZjajV
8,MottFoundation,"has pledged over 100 million dollars, with 60% going to education. https://www.mott.org/"
8,EducareFlint,opened it's doors to the community last December. http://bit.ly/2iqoaDl
8,CNN,has a breakdown of key recent and past events here: http://cnn.it/2qXp01f
5,medshare,is collecting money to help give healthcare to those affected. http://bit.ly/2AHwJ3i
4,UnitedWay,is collecting money for the #ThomasFireFund here: http://bit.ly/2mfr7Jx
3,Generosity,"has raised over $2,000,000 for the recovery: http://bit.ly/2wKlCVp"
6,ProjectPaz,is still collecting funds to help the victims.  Donate here: http://bit.ly/2xiLo5g 
9,PADForg,is still collecting funds to help those affected by the storm. Donate here: http://bit.ly/2Dar3o1
10,save_children,wrote an assessment of the damage and the steps that need to be taken: http://bit.ly/2EIjbqG